cell,x_left_cm,x_right_cm,dx_cm,flux_g1,flux_g2,flux_g3,flux_g4,flux_g5,flux_g6,flux_g7,sigTR_g1,sigTR_g2,sigTR_g3,sigTR_g4,sigTR_g5,sigTR_g6,sigTR_g7,Rrem_g1,Rrem_g2,Rrem_g3,Rrem_g4,Rrem_g5,Rrem_g6,Rrem_g7
1,0.0000000000000000,0.10587580858114758,0.10587580858114758,0.19601989097852818,0.52885421010638989,0.21412024385600006,0.63190229744084433E-1,0.29583020580445898E-1,0.14685679810357236E-1,0.10821860815669018E-1,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
2,0.10587580858114758,0.21175161716229515,0.10587580858114758,0.19614029609856426,0.52950504867096748,0.21379521199155568,0.62851592552856092E-1,0.29273423874707008E-1,0.14136307359087294E-1,0.10042972833878103E-1,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
3,0.21175161716229515,0.31762742574344272,0.10587580858114758,0.19638118029742041,0.53080771700218254,0.21314188691820291,0.62172461792768099E-1,0.28653461857572730E-1,0.13036690017986043E-1,0.85017909758919197E-2,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
4,0.31762742574344272,0.42129749036674413,0.10367006462330143,0.19676542770139599,0.53256692673026351,0.21223761855858062,0.61141069397141097E-1,0.27868081789919896E-1,0.11617127535130556E-1,0.69662524668928005E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
5,0.42129749036674413,0.52496755499004555,0.10367006462330143,0.19708851723741660,0.53389031048197411,0.21153544009189165,0.60256349549410781E-1,0.27321363920261729E-1,0.10653215852696478E-1,0.63107587444049254E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
6,0.52496755499004555,0.62863761961334697,0.10367006462330143,0.19733440456023049,0.53498357841918953,0.21095099699003667,0.59524001025910517E-1,0.26865025316700607E-1,0.98938538717778229E-2,0.57871110149267718E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
7,0.62863761961334697,0.73230768423664838,0.10367006462330143,0.19750840956942520,0.53585345051642863,0.21048390331254044,0.58942076310510468E-1,0.26497554806989131E-1,0.93241091783254747E-2,0.53843218167229385E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
8,0.73230768423664838,0.83597774885994980,0.10367006462330143,0.19761458093669768,0.53650505468576792,0.21013385040813115,0.58509028053227968E-1,0.26217733202233598E-1,0.89327869611658794E-2,0.50939341608771966E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
9,0.83597774885994980,0.93964781348325122,0.10367006462330143,0.19765577256032996,0.53694202219150367,0.20990060670376123,0.58223704911576489E-1,0.26024629578710840E-1,0.87122086955010707E-2,0.49098436765553652E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
10,0.93964781348325122,1.0433178781065526,0.10367006462330143,0.19763369732408859,0.53716655473662156,0.20978401754648479,0.58085348456400593E-1,0.25917598402466848E-1,0.86580604463060394E-2,0.48281700804717600E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
