cell,x_cm,g1,g2,g3,g4,g5,g6,g7
1,0.52937904290573788E-1,0.19601989097852818,0.52885421010638989,0.21412024385600006,0.63190229744084433E-1,0.29583020580445898E-1,0.14685679810357236E-1,0.10821860815669018E-1
2,0.15881371287172136,0.19614029609856426,0.52950504867096748,0.21379521199155568,0.62851592552856092E-1,0.29273423874707008E-1,0.14136307359087294E-1,0.10042972833878103E-1
3,0.26468952145286895,0.19638118029742041,0.53080771700218254,0.21314188691820291,0.62172461792768099E-1,0.28653461857572730E-1,0.13036690017986043E-1,0.85017909758919197E-2
4,0.36946245805509342,0.19676542770139599,0.53256692673026351,0.21223761855858062,0.61141069397141097E-1,0.27868081789919896E-1,0.11617127535130556E-1,0.69662524668928005E-2
5,0.47313252267839484,0.19708851723741660,0.53389031048197411,0.21153544009189165,0.60256349549410781E-1,0.27321363920261729E-1,0.10653215852696478E-1,0.63107587444049254E-2
6,0.57680258730169620,0.19733440456023049,0.53498357841918953,0.21095099699003667,0.59524001025910517E-1,0.26865025316700607E-1,0.98938538717778229E-2,0.57871110149267718E-2
7,0.68047265192499773,0.19750840956942520,0.53585345051642863,0.21048390331254044,0.58942076310510468E-1,0.26497554806989131E-1,0.93241091783254747E-2,0.53843218167229385E-2
8,0.78414271654829903,0.19761458093669768,0.53650505468576792,0.21013385040813115,0.58509028053227968E-1,0.26217733202233598E-1,0.89327869611658794E-2,0.50939341608771966E-2
9,0.88781278117160056,0.19765577256032996,0.53694202219150367,0.20990060670376123,0.58223704911576489E-1,0.26024629578710840E-1,0.87122086955010707E-2,0.49098436765553652E-2
10,0.99148284579490187,0.19763369732408859,0.53716655473662156,0.20978401754648479,0.58085348456400593E-1,0.25917598402466848E-1,0.86580604463060394E-2,0.48281700804717600E-2
11,1.0951529104182034,0.19754895924413851,0.53717946457611332,0.20978400509798900,0.58093591133858910E-1,0.25896277492734536E-1,0.87693077929553755E-2,0.48471752604993847E-2
12,1.1988229750415049,0.19740106465278659,0.53698018846846307,0.20990056828165227,0.58248455278066061E-1,0.25960586820483026E-1,0.90481756960724361E-2,0.49672262418179606E-2
13,1.3035959116437295,0.19720029246438570,0.53651456178186208,0.21015763108339597,0.58548014624458480E-1,0.26145149510059366E-1,0.95885599373500153E-2,0.53957800555057608E-2
14,1.4094717202248770,0.19713253027513528,0.53665959889340120,0.21007446133942889,0.58478988884516130E-1,0.26054938224059038E-1,0.96661313410316037E-2,0.54363649379041493E-2
15,1.5153475288060245,0.19718585664405214,0.53746788359375919,0.20962643309249870,0.58043412744348051E-1,0.25654992867380912E-1,0.91962529910415529E-2,0.48814733643489875E-2
16,1.6201204654082491,0.19737127568970184,0.53879228408166058,0.20887865469087097,0.57232702013053013E-1,0.25056011764115402E-1,0.83235890942146579E-2,0.41146545717406398E-2
17,1.7237905300315506,0.19750961762852967,0.53976282623106375,0.20831622472297051,0.56560006154779907E-1,0.24651509871351705E-1,0.77527403217390982E-2,0.38000478711588360E-2
18,1.8274605946548521,0.19759364114206962,0.54053277886067042,0.20786939871594590,0.56029866383921233E-1,0.24328434414183295E-1,0.73297720614682333E-2,0.35643251436576736E-2
19,1.9311306592781536,0.19762613495668663,0.54110571615593128,0.20753788140389681,0.55640874034656326E-1,0.24085712107002846E-1,0.70463691673629319E-2,0.34025711111721445E-2
20,2.0348007239014549,0.19760899773198187,0.54148409583949431,0.20732145342292035,0.55391995689677440E-1,0.23922534454347482E-1,0.68969677725288590E-2,0.33114102918949018E-2
21,2.1384707885247565,0.19754327276943984,0.54166930244478007,0.20721997116233842,0.55282570403389873E-1,0.23838355213782029E-1,0.68786451241679997E-2,0.32889364278856142E-2
22,2.2421408531480580,0.19742916687103967,0.54166167082171812,0.20723336666729136,0.55312307926211605E-1,0.23832888646059085E-1,0.69910617785471666E-2,0.33346725470328018E-2
23,2.3458109177713595,0.19726605372354433,0.54146049034430688,0.20736164759259912,0.55481287925185613E-1,0.23906108548797565E-1,0.72364550110772348E-2,0.34495608213244511E-2
24,2.4494809823946611,0.19705246187491876,0.54106398990298665,0.20760489720784361,0.55789960198809774E-1,0.24058248070605158E-1,0.76196833126597517E-2,0.36359820055484652E-2
25,2.5542539189968858,0.19680093034221752,0.54039419455657767,0.20799992178280638,0.56235666425596333E-1,0.24342885925992121E-1,0.82516691478454977E-2,0.41378479481276945E-2
26,2.6601297275780329,0.19668516696337110,0.54031983553331120,0.20804701686575569,0.56298704762245869E-1,0.24370369732786435E-1,0.84569311959447942E-2,0.43442262267838509E-2
27,2.7660055361591809,0.19669021735000194,0.54091606901925027,0.20770995765611242,0.55982958883199575E-1,0.24087335500732866E-1,0.81350044342889533E-2,0.40081468404032606E-2
28,2.8707784727614052,0.19682400064709077,0.54205612621039323,0.20704706485058663,0.55281370998014688E-1,0.23586547285140789E-1,0.74063798441308002E-2,0.34221328123416922E-2
29,2.9744485373847067,0.19691478451922625,0.54287287389880423,0.20656042603434729,0.54713474925300570E-1,0.23256963879990433E-1,0.69382246867669218E-2,0.31872878441467078E-2
30,3.0781186020080082,0.19695761936987513,0.54349795526139888,0.20618822202637319,0.54283239034190800E-1,0.23004096016541679E-1,0.66021722987349932E-2,0.30184414812085736E-2
31,3.1817886666313098,0.19695464381355182,0.54393413195606832,0.20593020703016229,0.53989520548785967E-1,0.22827105186049051E-1,0.63916103553562417E-2,0.29120855002000411E-2
32,3.2854587312546113,0.19690720773028952,0.54418317543017980,0.20578621039249728,0.53831539510502069E-1,0.22725402879158668E-1,0.63024005149622270E-2,0.28660096546626666E-2
