cell,x_cm,g1,g2,g3,g4,g5,g6,g7
1,0.52937904290573788E-1,0.17706777422009481,0.48529179479816542,0.20984542902399861,0.68127319210909754E-1,0.47223055460363879E-1,0.42830238161766489E-1,0.42707478130011793E-1
2,0.15881371287172136,0.17717653801188665,0.48589342790451451,0.20961215906995950,0.67855872300701253E-1,0.47110757918561633E-1,0.42367554726986702E-1,0.40961770838536506E-1
3,0.26468952145286895,0.17739413240357504,0.48709761437008381,0.20914293120389790,0.67311368989884504E-1,0.46887435839000402E-1,0.41444294107088844E-1,0.37467025887917185E-1
4,0.36946245805509342,0.17773611147791923,0.48870904228905743,0.20850453610745437,0.66519754834621747E-1,0.46651016944603024E-1,0.40541738063196928E-1,0.34294308138860266E-1
5,0.47313252267839484,0.17803222940762531,0.48992475475542024,0.20802087819436355,0.65868262939141095E-1,0.46524642197517091E-1,0.40173202973456681E-1,0.33368884771182543E-1
6,0.57680258730169620,0.17826886737856401,0.49094406889799475,0.20761952672588438,0.65326562975937100E-1,0.46412954735337658E-1,0.39861174389962804E-1,0.32608080465203061E-1
7,0.68047265192499773,0.17844751204292358,0.49176877699359228,0.20730027505970414,0.64893688717810163E-1,0.46315943570083062E-1,0.39605235407890925E-1,0.32007957245094767E-1
8,0.78414271654829903,0.17856934177640943,0.49240030799146589,0.20706295847190898,0.64568867996365603E-1,0.46233596854892846E-1,0.39405042166088637E-1,0.31565411831776725E-1
9,0.88781278117160056,0.17863523195678149,0.49283973347310439,0.20690745405326580,0.64351521304867418E-1,0.46165901926900205E-1,0.39260323619636939E-1,0.31278159296048887E-1
10,0.99148284579490187,0.17864575886449599,0.49308777205338644,0.20683368063163959,0.64241260749665574E-1,0.46112845338044023E-1,0.39170881343462381E-1,0.31144721027938260E-1
11,1.0951529104182034,0.17860120222482062,0.49314479224526137,0.20684159872042834,0.64237889348289931E-1,0.46074412873895125E-1,0.39136589367981096E-1,0.31164416958535258E-1
12,1.1988229750415049,0.17850154640396432,0.49301081380230072,0.20693121049293836,0.64341400672938004E-1,0.46050589560546008E-1,0.39157394047349130E-1,0.31337361993134596E-1
13,1.3035959116437295,0.17835317077759844,0.49264015889022905,0.20712440375586558,0.64560034762409430E-1,0.46035121421302706E-1,0.39318420734900487E-1,0.32285276429130122E-1
14,1.4094717202248770,0.17832103900978327,0.49283709620487742,0.20707396422637625,0.64492612604661922E-1,0.45921592160656680E-1,0.39113462801748912E-1,0.32129286752967147E-1
15,1.5153475288060245,0.17839844085103065,0.49364738228692456,0.20675729511953578,0.64130644960283895E-1,0.45715360943745988E-1,0.38456127599230949E-1,0.30256732388705875E-1
16,1.6201204654082491,0.17859425336910523,0.49491702755192019,0.20623034615899358,0.63495416366522131E-1,0.45502988996916675E-1,0.37730480081756064E-1,0.28090809214008885E-1
17,1.7237905300315506,0.17874945880020310,0.49584779331714651,0.20584435718308058,0.62989156036469693E-1,0.45390702732936182E-1,0.37441544280462154E-1,0.27480780664821288E-1
18,1.8274605946548521,0.17885644868939243,0.49659652710869456,0.20553954937089530,0.62587555479254417E-1,0.45292839885653018E-1,0.37205401515284245E-1,0.27004990819078985E-1
19,1.9311306592781536,0.17891618063930767,0.49716442616493917,0.20531576620504299,0.62289898743323316E-1,0.45209386254558719E-1,0.37021727132250312E-1,0.26660989496589505E-1
20,2.0348007239014549,0.17892935300659873,0.49755237995707019,0.20517289231814936,0.62095655104801410E-1,0.45140326992122413E-1,0.36890266732138730E-1,0.26447009147518376E-1
21,2.1384707885247565,0.17889640796225129,0.49776097363532368,0.20511085342211627,0.62004478107328571E-1,0.45085646630769319E-1,0.36810835945495973E-1,0.26361955559529811E-1
22,2.2421408531480580,0.17881753340708670,0.49779049018345961,0.20512961626217369,0.62016204935229011E-1,0.45045329098385357E-1,0.36783320249870445E-1,0.26405402113207452E-1
23,2.3458109177713595,0.17869266375176729,0.49764091129214766,0.20522918859566430,0.62130856118875602E-1,0.45019357722391483E-1,0.36807674829585392E-1,0.26577587555356795E-1
24,2.4494809823946611,0.17852147956498110,0.49731191695542337,0.20540961919553546,0.62348635571712996E-1,0.45007715222407152E-1,0.36883924478060624E-1,0.26879417278426274E-1
25,2.5542539189968858,0.17831281512677682,0.49673192305692487,0.20570431899097977,0.62682222504601440E-1,0.45012187236970189E-1,0.37155920465531123E-1,0.28134352496910323E-1
26,2.6601297275780329,0.17822308828505676,0.49670139630000743,0.20574940279385606,0.62722001646004555E-1,0.44931871869386436E-1,0.37120464721226910E-1,0.28534901694830896E-1
27,2.7660055361591809,0.17824283488621540,0.49729138331283712,0.20551184882777490,0.62455868658606147E-1,0.44763427422206216E-1,0.36632355507078572E-1,0.27267329019633597E-1
28,2.8707784727614052,0.17837816953187613,0.49837085308864709,0.20504209385635477,0.61902668252946914E-1,0.44580903233200346E-1,0.36016910558674148E-1,0.25496686010016846E-1
29,2.9744485373847067,0.17847540743604215,0.49914188422744071,0.20470621110245854,0.61472574395460444E-1,0.44486164184102596E-1,0.35777510809602883E-1,0.25009831359527241E-1
30,3.0781186020080082,0.17852942474261360,0.49973778086135134,0.20445091510135124,0.61144437211904455E-1,0.44405587709146085E-1,0.35588548440662317E-1,0.24644624584889308E-1
31,3.1817886666313098,0.17854095858810323,0.50015948911294739,0.20427607546850074,0.60917672017609586E-1,0.44339161903633385E-1,0.35449762268936889E-1,0.24399187332816867E-1
32,3.2854587312546113,0.17851050787758135,0.50040767105004991,0.20418160257215356,0.60791874703597232E-1,0.44286874284600312E-1,0.35360958930154458E-1,0.24272260862688043E-1
33,3.3891287958779128,0.17843833547533783,0.50048270715490595,0.20416744747883736,0.60766821005570383E-1,0.44248711810875536E-1,0.35322012698613264E-1,0.24263199432470538E-1
34,3.4927988605012144,0.17832446934869936,0.50038469761344651,0.20423360192305423,0.60842466098208502E-1,0.44224660891969858E-1,0.35332865351944284E-1,0.24371966913772178E-1
35,3.5964689251245159,0.17816870267052745,0.50011346243093080,0.20438009830112217,0.61018944514027854E-1,0.44214707385823254E-1,0.35393526080852583E-1,0.24599136618111986E-1
36,3.7001389897478174,0.17797059288073516,0.49966854037434266,0.20460700968916098,0.61296570386661191E-1,0.44218836585413972E-1,0.35504071443708839E-1,0.24945894333519170E-1
37,3.8049119263500417,0.17773986367914343,0.49896284700465665,0.20495364301769062,0.61690347363294207E-1,0.44249331785732947E-1,0.35844649899060319E-1,0.26302543933606742E-1
38,3.9107877349311897,0.17762871507708269,0.49879619135578435,0.20504713524946017,0.61786204674059569E-1,0.44205197051796680E-1,0.35912797328913622E-1,0.26911773572968388E-1
39,4.0166635435123368,0.17762667482445529,0.49925478581535049,0.20484917946366524,0.61570151855514121E-1,0.44072513583209232E-1,0.35527385347293106E-1,0.25891167496755747E-1
40,4.1214364801145615,0.17773879747131144,0.50022122437590721,0.20440756270002866,0.61059768303392332E-1,0.43915156732068215E-1,0.34978608147888467E-1,0.24292024670617664E-1
41,4.2251065447378631,0.17781427091787042,0.50089692437743205,0.20409630471905849,0.60669411748882657E-1,0.43835225431409920E-1,0.34769147206279299E-1,0.23858282031684587E-1
42,4.3287766093611646,0.17784890739545844,0.50140122989331504,0.20386531506756925,0.60379581068422901E-1,0.43769250402267888E-1,0.34608671966785354E-1,0.23540390716112865E-1
43,4.4324466739844661,0.17784334384832864,0.50173496778966031,0.20371447661711425,0.60189760084564919E-1,0.43717223155884145E-1,0.34496961143340825E-1,0.23336714501312323E-1
44,4.5361167386077677,0.17779798895587301,0.50189869213486826,0.20364371277551330,0.60099610731751262E-1,0.43679134637449567E-1,0.34433859572623474E-1,0.23246207762362203E-1
45,4.6397868032310692,0.17771302494809010,0.50189268625016126,0.20365298744050478,0.60108972444849196E-1,0.43654975243363002E-1,0.34419278073301661E-1,0.23268409976086299E-1
46,4.7434568678543707,0.17758840841993295,0.50171696363224771,0.20374230497727741,0.60217861868731536E-1,0.43644734827476189E-1,0.34453193350421733E-1,0.23403443306864367E-1
47,4.8471269324776722,0.17742387014847097,0.50137126775261076,0.20391171021986271,0.60426472888377963E-1,0.43648402696345498E-1,0.34535647945039279E-1,0.23652013261410545E-1
48,4.9507969971009738,0.17721891391186326,0.50085507073224966,0.20416128849638726,0.60735176979550873E-1,0.43665967593486538E-1,0.34666750228941168E-1,0.24015412416005247E-1
49,5.0555699337031985,0.17698343256377866,0.50007173137036687,0.20453321912549710,0.61160183943969583E-1,0.43718673923189587E-1,0.35048370796863751E-1,0.25406734054357186E-1
50,5.1614457422843465,0.17686728146026182,0.49982113277412094,0.20464997479270025,0.61285124579267540E-1,0.43703822730272686E-1,0.35178554797901919E-1,0.26101410171808663E-1
51,5.2673215508654945,0.17685977099595929,0.50019884269841586,0.20447071799209671,0.61095037991730938E-1,0.43598642357192866E-1,0.34854743142288494E-1,0.25192447106919882E-1
52,5.3720944874677192,0.17696567180757969,0.50109581590821139,0.20404206915068884,0.60606855710420640E-1,0.43459696252414977E-1,0.34346080405910494E-1,0.23675724776115809E-1
53,5.4757645520910208,0.17703589419081456,0.50171286210868971,0.20374212644039938,0.60237076771050752E-1,0.43390599315302300E-1,0.34154616399061533E-1,0.23267349787346389E-1
54,5.5794346167143223,0.17706647656797683,0.50216075690569140,0.20352227222630645,0.59967054969124890E-1,0.43335310261337641E-1,0.34011247585863755E-1,0.22971881235379535E-1
55,5.6831046813376238,0.17705800689486131,0.50244026371552764,0.20338239581033488,0.59796309614955995E-1,0.43293823610669906E-1,0.33915777039650118E-1,0.22787796540267420E-1
56,5.7867747459609253,0.17701085003350209,0.50255187904494603,0.20332242690388444,0.59724536805136022E-1,0.43266133310663500E-1,0.33868072856018165E-1,0.22714148974789655E-1
57,5.8904448105842269,0.17692514938925227,0.50249583434301903,0.20334233558555828,0.59751608872923155E-1,0.43252232752162507E-1,0.33868068039257508E-1,0.22750562685720982E-1
58,5.9941148752075284,0.17680082757022941,0.50227209675185402,0.20344213228260974,0.59877574157383498E-1,0.43252114774821687E-1,0.33915760433697144E-1,0.22897230721735350E-1
59,6.0977849398308299,0.17663758607233523,0.50188036875979092,0.20362186777608285,0.60102657090866776E-1,0.43265771661522699E-1,0.34011212700074699E-1,0.23154916057512274E-1
60,6.2014550044541314,0.17643490398823103,0.50132008675521367,0.20388163322965966,0.60427258604975609E-1,0.43293195121865621E-1,0.34154552336776757E-1,0.23524955619481876E-1
61,6.3062279410563562,0.17620251457283312,0.50048870055427064,0.20426489486340288,0.60868204203594289E-1,0.43362209475819376E-1,0.34560554294017387E-1,0.24928439413135620E-1
62,6.4121037496375042,0.17608883630294628,0.50018616279728112,0.20439189324403031,0.61008019550512958E-1,0.43368325452622390E-1,0.34727775258292196E-1,0.25661639674932617E-1
63,6.5179795582186522,0.17608332051272524,0.50051382151999257,0.20422069343469640,0.60831256081884673E-1,0.43282332164246519E-1,0.34440927469186623E-1,0.24808275767974324E-1
64,6.6227524948208769,0.17619081073329351,0.50136779807011755,0.20379747060235831,0.60354517848400839E-1,0.43155882576299091E-1,0.33956467172327261E-1,0.23334833838622646E-1
65,6.7264225594441784,0.17626333903038141,0.50194860068408398,0.20350222342190971,0.59995314512327660E-1,0.43094138162115832E-1,0.33775848594249452E-1,0.22939705895797007E-1
66,6.8300926240674800,0.17629684399177675,0.50236170391282164,0.20328695077848424,0.59735440545876956E-1,0.43046099685315475E-1,0.33642775288922795E-1,0.22655863223400807E-1
67,6.9337626886907815,0.17629188839377946,0.50260783409519771,0.20315154490176129,0.59574433489078545E-1,0.43011763908948550E-1,0.33557065086842773E-1,0.22481841727427881E-1
68,7.0374327533140830,0.17624881479911617,0.50268745399107617,0.20309593834863718,0.59512006928573377E-1,0.42991127012674532E-1,0.33518600141795273E-1,0.22416745045719663E-1
69,7.1411028179373846,0.17616774710183028,0.50260076453004099,0.20312010396297336,0.59548049979685609E-1,0.42984184608770570E-1,0.33527326834681813E-1,0.22460239831944083E-1
70,7.2447728825606861,0.17604859110756882,0.50234770547373464,0.20322405485896311,0.59682627085963329E-1,0.42990931747252215E-1,0.33583255721998669E-1,0.22612554004758569E-1
71,7.3484429471839876,0.17589103415211030,0.50192795499506393,0.20340784442809776,0.59915978135825276E-1,0.43011362910119651E-1,0.33686461529074133E-1,0.22874477952892221E-1
72,7.4521130118072891,0.17569454375621243,0.50134092817206521,0.20367156636974101,0.60248518896524481E-1,0.43045471994721418E-1,0.33837083187924069E-1,0.23247368702536336E-1
73,7.5568859484095139,0.17546855550938290,0.50048050371503527,0.20405918162131018,0.60697380803110323E-1,0.43125545681866967E-1,0.34257553220055380E-1,0.24655131675122139E-1
74,7.6627617569906619,0.17536053893436029,0.50014651573716873,0.20419005681894628,0.60844656255523412E-1,0.43145687443279214E-1,0.34446918280774744E-1,0.25407273748437605E-1
75,7.7686375655718098,0.17536023748270890,0.50044379905566172,0.20402186465913447,0.60674660581543867E-1,0.43072344675717203E-1,0.34182332838114185E-1,0.24583853161776470E-1
76,7.8734105021740346,0.17547272314136483,0.50127161266657327,0.20360064653489260,0.60203832746655694E-1,0.42954005848430607E-1,0.33712555015208999E-1,0.23134735792022340E-1
77,7.9770805667973352,0.17555080577220522,0.50183047406993575,0.20330709099663236,0.59850057715656456E-1,0.42897030774525426E-1,0.33538504962132835E-1,0.22747015500666393E-1
78,8.0807506314206368,0.17559018368665741,0.50222263151251845,0.20309342489699367,0.59595357524709763E-1,0.42853692802508843E-1,0.33411655697930059E-1,0.22469631517857726E-1
79,8.1844206960439383,0.17559140639038037,0.50244878806465409,0.20295954170343167,0.59439279040761211E-1,0.42823990233970280E-1,0.33331833994942668E-1,0.22301152086845646E-1
80,8.2880907606672398,0.17555480486964337,0.50250938521990185,0.20290537515026288,0.59381544735355549E-1,0.42807920777867235E-1,0.33298930504304304E-1,0.22240708425861313E-1
81,8.3917608252905413,0.17548049308549624,0.50240460458628222,0.20293089919941620,0.59422052182816168E-1,0.42805481566547274E-1,0.33312899670568531E-1,0.22287990155715039E-1
82,8.4954308899138429,0.17536836851101381,0.50213436849985316,0.20303612802473675,0.59560873875121753E-1,0.42816669160907567E-1,0.33373759690780991E-1,0.22443243668253725E-1
83,8.5991009545371444,0.17521811171425786,0.50169833956363441,0.20322111601982454,0.59798257353143550E-1,0.42841479544705359E-1,0.33481592518102357E-1,0.22707273427041683E-1
84,8.7027710191604459,0.17502918498486841,0.50109591910950757,0.20348595782942125,0.60134625654482354E-1,0.42879908108008777E-1,0.33636543909848660E-1,0.23081446207158698E-1
85,8.8075439557626716,0.17481068264436289,0.50021894966585900,0.20387474814213535,0.60587255968632153E-1,0.42967123057960618E-1,0.34065580432227946E-1,0.24490552999139006E-1
86,8.9134197643438178,0.17470941032517578,0.49986695380207741,0.20400671804046194,0.60738188320081973E-1,0.42996262740574664E-1,0.34268204464051287E-1,0.25252613755699205E-1
87,9.0192955729249675,0.17471545317393700,0.50014674728117114,0.20383945902983097,0.60571630012223404E-1,0.42930982455201182E-1,0.34017093451032668E-1,0.24446268666510819E-1
88,9.1240685095271914,0.17483416795649234,0.50095940202637090,0.20341897864329042,0.60103934020936362E-1,0.42817777377351512E-1,0.33556295748293177E-1,0.23011531207092113E-1
89,9.2277385741504929,0.17491893075232359,0.50150568978032484,0.20312600309922277,0.59753002660113075E-1,0.42763817928555124E-1,0.33386253238247787E-1,0.22628167729153385E-1
90,9.3314086387737945,0.17496515089667400,0.50188598740252510,0.20291284323039979,0.59500978503624562E-1,0.42723448891274135E-1,0.33263190903346743E-1,0.22354557051079166E-1
91,9.4350787033970960,0.17497337087839845,0.50210098252879376,0.20277939301979162,0.59347413256924123E-1,0.42696669573863359E-1,0.33186940959258719E-1,0.22189286262144385E-1
92,9.5387487680203975,0.17494391571035792,0.50215110248422079,0.20272558666770954,0.59292033937443388E-1,0.42683478685403772E-1,0.33157399213214984E-1,0.22131502498852765E-1
93,9.6424188326436990,0.17487689439441992,0.50203651594066567,0.20275139855308474,0.59334742381019032E-1,0.42683874351809280E-1,0.33174524985274248E-1,0.22180908455347845E-1
