cell,x_cm,g1,g2,g3,g4,g5,g6,g7
1,0.52937904290573788E-1,0.14167243929844431,0.38853871445663957,0.15863691026233756,0.46948092121491848E-1,0.22018408631045306E-1,0.10930884331732506E-1,0.80561089237198135E-2
2,0.15881371287172136,0.14175946152345623,0.38902054873356939,0.15840457110174641,0.46698498404613306E-1,0.21789107909890783E-1,0.10522279264575576E-1,0.74764912422767482E-2
3,0.26468952145286895,0.14193355942683752,0.38998495443126258,0.15793751863666305,0.46197910845349542E-1,0.21329921745060845E-1,0.97043942546992182E-2,0.63295859043208617E-2
4,0.36946245805509342,0.14221127240149303,0.39128735934454162,0.15729097266920636,0.45437590551286169E-1,0.20748183170986926E-1,0.86484810953548381E-2,0.51868490048068193E-2
5,0.47313252267839484,0.14244852165090141,0.39227655314250798,0.15679210692804046,0.44786340243315806E-1,0.20343581885148909E-1,0.79316345599164985E-2,0.46990902014534507E-2
6,0.57680258730169620,0.14263355556370480,0.39310448043666463,0.15638060915808319,0.44248362590422363E-1,0.20006284307756722E-1,0.73670804595459948E-2,0.43095062500947048E-2
7,0.68047265192499773,0.14277009425662410,0.39377583362655411,0.15605620603076836,0.43822226107945138E-1,0.19735173309299903E-1,0.69437167535666431E-2,0.40099225444366173E-2
8,0.78414271654829903,0.14286096757321917,0.39429418857632337,0.15581868141616709,0.43506796844589364E-1,0.19529349239055398E-1,0.66532244397188821E-2,0.37940488594573368E-2
9,0.88781278117160056,0.14290816855557265,0.39466207134775982,0.15566787623554548,0.43301235334358985E-1,0.19388127182990836E-1,0.64899030911718799E-2,0.36573470620274917E-2
10,0.99148284579490187,0.14291289101311547,0.39488100508329860,0.15560368835288974,0.43204994340090529E-1,0.19311034849549519E-1,0.64505582393453234E-2,0.35969355553274679E-2
11,1.0951529104182034,0.14287555194601001,0.39495153798614424,0.15562607250525912,0.43217817382507948E-1,0.19297811080443979E-1,0.65344383764100525E-2,0.36115284422173024E-2
12,1.1988229750415049,0.14279579927580485,0.39487325296363213,0.15573504027187818,0.43339738050836629E-1,0.19348404983790445E-1,0.67432203342224382E-2,0.37014081214823227E-2
13,1.3035959116437295,0.14267939288104026,0.39461590039187172,0.15595066398463889,0.43569288082263749E-1,0.19489242145782622E-1,0.71470852870193042E-2,0.40215595492608903E-2
14,1.4094717202248770,0.14265751507244234,0.39482096334181582,0.15592519730050411,0.43526478153370192E-1,0.19426883971068180E-1,0.72063817631570154E-2,0.40529518350044562E-2
15,1.5153475288060245,0.14272326457115792,0.39551770703129985,0.15563798388234648,0.43212795193856207E-1,0.19134628867488263E-1,0.68577430269276081E-2,0.36404794137193820E-2
16,1.6201204654082491,0.14288633047716220,0.39658734592546541,0.15513270459958364,0.42621844004136177E-1,0.18693875618390126E-1,0.62086453317814526E-2,0.30695976004297670E-2
17,1.7237905300315506,0.14302016222131483,0.39739287231338044,0.15476053871257112,0.42133793953064665E-1,0.18397082426298218E-1,0.57843736831611576E-2,0.28355103999268732E-2
18,1.8274605946548521,0.14311771826207861,0.39805753273011368,0.15447436042818560,0.41751959651165974E-1,0.18161063287945901E-1,0.54704353581249802E-2,0.26602847863378223E-2
19,1.9311306592781536,0.14318094531135037,0.39858379788950371,0.15427397630723014,0.41475324792355515E-1,0.17985033839697896E-1,0.52606577669816936E-2,0.25402667870146347E-2
20,2.0348007239014549,0.14321116542445853,0.39897335339718992,0.15415924922387775,0.41303152755926810E-1,0.17868407420259105E-1,0.51509216536899608E-2,0.24729516796802150E-2
21,2.1384707885247565,0.14320910018681682,0.39922712990472664,0.15413009827254551,0.41234984626354124E-1,0.17810793231710174E-1,0.51390795328021578E-2,0.24569316218271790E-2
22,2.2421408531480580,0.14317488376676341,0.39934531937743928,0.15418649871276702,0.41270637959499368E-1,0.17811995088586247E-1,0.52249132166725483E-2,0.24918661508116589E-2
23,2.3458109177713595,0.14310806509489987,0.39932737780144623,0.15432848195198895,0.41410206291898219E-1,0.17872010752352854E-1,0.54101295917321560E-2,0.25784749355432660E-2
24,2.4494809823946611,0.14300759921293080,0.39917201438356720,0.15455613556628048,0.41654059391805644E-1,0.17991031849145859E-1,0.56983945614606079E-2,0.27185526252978490E-2
25,2.5542539189968858,0.14287941250748601,0.39883992784808275,0.15490165828851352,0.42000142511778193E-1,0.18210347191036799E-1,0.61730194762722908E-2,0.30951175757967667E-2
26,2.6601297275780329,0.14284657429863909,0.39896922482566999,0.15500214190573561,0.42062322394510049E-1,0.18239445527094538E-1,0.63289754310664748E-2,0.32512559954985523E-2
27,2.7660055361591809,0.14290147952664131,0.39959743077297311,0.15482568731101695,0.41843458593829791E-1,0.18037157307169493E-1,0.60906185441520870E-2,0.30015198941086788E-2
28,2.8707784727614052,0.14305313549724430,0.40061184554969442,0.15440851701432703,0.41338256558258499E-1,0.17671188872831648E-1,0.55475484233266882E-2,0.25641080668754295E-2
29,2.9744485373847067,0.14317973294642461,0.40137472368247340,0.15411573424250027,0.40933197951846405E-1,0.17431774494359703E-1,0.51991351017588328E-2,0.23890182548351635E-2
30,3.0781186020080082,0.14327437474338808,0.40200243851706613,0.15390843716966987,0.40631148013982252E-1,0.17249867281919386E-1,0.49497111401293056E-2,0.22633978818127664E-2
31,3.1817886666313098,0.14333855399405943,0.40249687631995540,0.15378648190656760,0.40431301855514849E-1,0.17124863674617883E-1,0.47943673982395463E-2,0.21846366338278147E-2
