cell,x_cm,g1,g2,g3,g4,g5,g6,g7
1,0.52937904290573788E-1,0.19699657381679112E+20,0.53991089738219815E+20,0.23346332064612884E+20,0.75794980351365304E+19,0.52537962776268145E+19,0.47650738316377631E+19,0.47514161766726902E+19
2,0.15881371287172136,0.19711757886377206E+20,0.54058024368853508E+20,0.23320379639377682E+20,0.75492982364889457E+19,0.52413026259273288E+19,0.47135980327156470E+19,0.45571976878356659E+19
3,0.26468952145286895,0.19735966328502354E+20,0.54191996012761358E+20,0.23268175740412645E+20,0.74887195755015045E+19,0.52164569504649380E+19,0.46108807654653292E+19,0.41683901904421586E+19
4,0.36946245805509342,0.19774013175964901E+20,0.54371275263539053E+20,0.23197151158274683E+20,0.74006486224110807E+19,0.51901541901874268E+19,0.45104669837326126E+19,0.38154097969149640E+19
5,0.47313252267839484,0.19806957746401137E+20,0.54506529231503966E+20,0.23143341845881201E+20,0.73281669572157153E+19,0.51760943804323502E+19,0.44694656494526377E+19,0.37124519133782886E+19
6,0.57680258730169620,0.19833284880017183E+20,0.54619932923742503E+20,0.23098689528690803E+20,0.72679001823844997E+19,0.51636686030798367E+19,0.44347509408322002E+19,0.36278087069658537E+19
7,0.68047265192499773,0.19853159974152462E+20,0.54711685739830731E+20,0.23063171216733802E+20,0.72197408004076892E+19,0.51528756356630917E+19,0.44062764751670666E+19,0.35610420585737620E+19
8,0.78414271654829903,0.19866714128877359E+20,0.54781946657373839E+20,0.23036768583667761E+20,0.71836029037683282E+19,0.51437141601608499E+19,0.43840039962193690E+19,0.35118067132005120E+19
9,0.88781278117160056,0.19874044734256366E+20,0.54830834895062409E+20,0.23019467955238334E+20,0.71594220195028849E+19,0.51361827677671393E+19,0.43679033489139512E+19,0.34798484612781542E+19
10,0.99148284579490187,0.19875215904313582E+20,0.54858430402322358E+20,0.23011260300647817E+20,0.71471549925424046E+19,0.51302799623192760E+19,0.43579524574892580E+19,0.34650028002031099E+19
11,1.0951529104182034,0.19870258759855481E+20,0.54864774178024751E+20,0.23012141226818277E+20,0.71467799076220191E+19,0.51260041623923743E+19,0.43541373072119265E+19,0.34671940689773583E+19
12,1.1988229750415049,0.19859171561546211E+20,0.54849868419851190E+20,0.23022110975540699E+20,0.71582960496172083E+19,0.51233537020658627E+19,0.43564519297189929E+19,0.34864350513778872E+19
13,1.3035959116437295,0.19842664046183383E+20,0.54808631244951298E+20,0.23043604672543879E+20,0.71826201632144620E+19,0.51216327957927301E+19,0.43743669376194447E+19,0.35918951764543350E+19
14,1.4094717202248770,0.19839089229592310E+20,0.54830541486051516E+20,0.23037993027772215E+20,0.71751191178468925E+19,0.51090021093373716E+19,0.43515643634157138E+19,0.35745405607484298E+19
15,1.5153475288060245,0.19847700563642225E+20,0.54920689782475178E+20,0.23002762038194373E+20,0.71348484440390359E+19,0.50860578760773018E+19,0.42784326016846121E+19,0.33662097136081567E+19
16,1.6201204654082491,0.19869485665612943E+20,0.55061944038518383E+20,0.22944136384678167E+20,0.70641761508379146E+19,0.50624304565287997E+19,0.41977007602352891E+19,0.31252401490191012E+19
17,1.7237905300315506,0.19886753030213140E+20,0.55165496289956094E+20,0.22901193220050481E+20,0.70078522088225137E+19,0.50499380595422362E+19,0.41655552367719629E+19,0.30573714842382310E+19
18,1.8274605946548521,0.19898656179555914E+20,0.55248796592501539E+20,0.22867281857614508E+20,0.69631721792898755E+19,0.50390503383272079E+19,0.41392831972229443E+19,0.30044375328849213E+19
19,1.9311306592781536,0.19905301651625873E+20,0.55311978144789479E+20,0.22842384884043256E+20,0.69300564091221033E+19,0.50297657130075771E+19,0.41188485222432824E+19,0.29661657004087091E+19
20,2.0348007239014549,0.19906767142021755E+20,0.55355139904847553E+20,0.22826489464151126E+20,0.69084458526879549E+19,0.50220825317227899E+19,0.41042229086732058E+19,0.29423593382308367E+19
21,2.1384707885247565,0.19903101844432019E+20,0.55378346973506306E+20,0.22819587333023240E+20,0.68983019650199910E+19,0.50159990736293745E+19,0.40953858445077381E+19,0.29328967098681252E+19
22,2.2421408531480580,0.19894326663743615E+20,0.55381630834095440E+20,0.22821674790903517E+20,0.68996066320766024E+19,0.50115135506258964E+19,0.40923245885630638E+19,0.29377303518203894E+19
23,2.3458109177713595,0.19880434302821388E+20,0.55364989449612263E+20,0.22832752700834329E+20,0.69123621379623567E+19,0.50086241078062551E+19,0.40950341548755814E+19,0.29568868258394209E+19
24,2.4494809823946611,0.19861389223366910E+20,0.55328387217825440E+20,0.22852826489045017E+20,0.69365911690469939E+19,0.50073288226434540E+19,0.41035173018347141E+19,0.29904668612708541E+19
25,2.5542539189968858,0.19838174282316964E+20,0.55263860055081066E+20,0.22885613285096837E+20,0.69737043496573696E+19,0.50078263561731195E+19,0.41337781880177644E+19,0.31300845525714135E+19
26,2.6601297275780329,0.19828191731581174E+20,0.55260463803815715E+20,0.22890629079043748E+20,0.69781299740265144E+19,0.49988908780441805E+19,0.41298335627572849E+19,0.31746476132316416E+19
27,2.7660055361591809,0.19830388637703651E+20,0.55326102749488226E+20,0.22864200036480414E+20,0.69485213753258004E+19,0.49801506080435425E+19,0.40755290213131105E+19,0.30336239429576448E+19
28,2.8707784727614052,0.19845445280071979E+20,0.55446199050641826E+20,0.22811937494461817E+20,0.68869751199278715E+19,0.49598438977845934E+19,0.40070577555830620E+19,0.28366312333110093E+19
29,2.9744485373847067,0.19856263473303470E+20,0.55531980042308665E+20,0.22774568892516520E+20,0.68391250711441971E+19,0.49493037144219679E+19,0.39804233606191212E+19,0.27824662682202926E+19
30,3.0781186020080082,0.19862273163303956E+20,0.55598276462279156E+20,0.22746165961633821E+20,0.68026182018467543E+19,0.49403391868185784E+19,0.39594003713001697E+19,0.27418352253017052E+19
31,3.1817886666313098,0.19863556360121897E+20,0.55645193571324322E+20,0.22726714195895734E+20,0.67773894630015590E+19,0.49329489905185126E+19,0.39439597297472502E+19,0.27145291285496335E+19
32,3.2854587312546113,0.19860168569390625E+20,0.55672805027732898E+20,0.22716203623330562E+20,0.67633938955049093E+19,0.49271317367308472E+19,0.39340799232377462E+19,0.27004079369030057E+19
33,3.3891287958779128,0.19852139036050227E+20,0.55681153162018939E+20,0.22714628799849759E+20,0.67606065488550359E+19,0.49228859745613804E+19,0.39297469641713751E+19,0.26993998083970760E+19
34,3.4927988605012144,0.19839470871602819E+20,0.55670249120358105E+20,0.22721988805876199E+20,0.67690224360154173E+19,0.49202101920016046E+19,0.39309543750243374E+19,0.27115007235712123E+19
35,3.5964689251245159,0.19822141065515942E+20,0.55640072877453656E+20,0.22738287245658968E+20,0.67886565243875983E+19,0.49191028156780575E+19,0.39377031783075994E+19,0.27367744661407043E+19
36,3.7001389897478174,0.19800100380811715E+20,0.55590573118872830E+20,0.22763532249274417E+20,0.68195437628772424E+19,0.49195622093625149E+19,0.39500018915149768E+19,0.27753529608332754E+19
37,3.8049119263500417,0.19774430626734072E+20,0.55512061274125418E+20,0.22802096905317458E+20,0.68633533807404093E+19,0.49229549498016809E+19,0.39878929132525967E+19,0.29262868754116408E+19
38,3.9107877349311897,0.19762064800209777E+20,0.55493520016700318E+20,0.22812498374143848E+20,0.68740179761922028E+19,0.49180447444240753E+19,0.39954746486952269E+19,0.29940666575603133E+19
39,4.0166635435123368,0.19761837812109263E+20,0.55544540897096991E+20,0.22790474823138832E+20,0.68499810416317614E+19,0.49032830584939387E+19,0.39525956775094211E+19,0.28805192313750287E+19
40,4.1214364801145615,0.19774312005889143E+20,0.55652061921785233E+20,0.22741342794592334E+20,0.67931983709604393E+19,0.48857763378735913E+19,0.38915415254777190E+19,0.27026067573630572E+19
41,4.2251065447378631,0.19782708796582281E+20,0.55727236857379635E+20,0.22706713819278033E+20,0.67497692918160046E+19,0.48768835890717501E+19,0.38682379695217070E+19,0.26543507637671465E+19
42,4.3287766093611646,0.19786562274406793E+20,0.55783343316741554E+20,0.22681015088873284E+20,0.67175242086612398E+19,0.48695435438513879E+19,0.38503843129193252E+19,0.26189837974800456E+19
43,4.4324466739844661,0.19785943302531379E+20,0.55820473292776112E+20,0.22664233572264546E+20,0.66964056942261545E+19,0.48637552577965926E+19,0.38379559365116170E+19,0.25963238207223291E+19
44,4.5361167386077677,0.19780897348540633E+20,0.55838688428307366E+20,0.22656360748196528E+20,0.66863761370612142E+19,0.48595177235154852E+19,0.38309355776187986E+19,0.25862545025987825E+19
45,4.6397868032310692,0.19771444686414676E+20,0.55838020244209361E+20,0.22657392600115753E+20,0.66874176735087534E+19,0.48568298725603891E+19,0.38293133143808031E+19,0.25887246076498340E+19
46,4.7434568678543707,0.19757580487129387E+20,0.55818470242057052E+20,0.22667329613670855E+20,0.66995321553924198E+19,0.48556905761226004E+19,0.38330865551199094E+19,0.26037477272612454E+19
