cell,x_cm,g1,g2,g3,g4,g5,g6,g7
1,0.53333332141240440E-1,0.31273904181668200E+20,0.83460576077043433E+20,0.33621379465984057E+20,0.99116842275249275E+19,0.46392609254694185E+19,0.23114467546657162E+19,0.17112859639830971E+19
2,0.15999999642372131,0.31293402217335890E+20,0.83564289161401942E+20,0.33568488340619022E+20,0.98576160758033060E+19,0.45899497141747476E+19,0.22241207157537155E+19,0.15871233116669135E+19
3,0.26666666070620221,0.31332410444921160E+20,0.83771875154709266E+20,0.33462173193732493E+20,0.97491833733455626E+19,0.44912047898874368E+19,0.20493326769900695E+19,0.13414703967269727E+19
4,0.37222221493721008,0.31394635054213411E+20,0.84052217265059201E+20,0.33315017181515756E+20,0.95845072252125082E+19,0.43661126357762652E+19,0.18236937819629053E+19,0.10967640148974861E+19
5,0.47666665911674500,0.31446374504014344E+20,0.84261678649229951E+20,0.33200331416726725E+20,0.94431618124402913E+19,0.42790094728948716E+19,0.16705684865677642E+19,0.99236920496148851E+18
6,0.58111110329627991,0.31485069499237806E+20,0.84433112263218151E+20,0.33104387266325991E+20,0.93260512758437130E+19,0.42062730141724242E+19,0.15500010569014362E+19,0.90901995730924045E+18
7,0.68555554747581482,0.31511612047840215E+20,0.84567645892375265E+20,0.33027120649934868E+20,0.92328596371480678E+19,0.41476587941653806E+19,0.14595851758555141E+19,0.84494104890220928E+18
8,0.78999999165534973,0.31526680723383697E+20,0.84666140249640731E+20,0.32968479996999016E+20,0.91633355018902364E+19,0.41029694411903713E+19,0.13975177534316677E+19,0.79876681155674086E+18
9,0.89444443583488464,0.31530753667406361E+20,0.84729205202361516E+20,0.32928426210960368E+20,0.91172913737080494E+19,0.40720540660784727E+19,0.13625627470912241E+19,0.76951197872686797E+18
10,0.99888888001441956,0.31524117727806034E+20,0.84757211176184922E+20,0.32906932642134495E+20,0.90946031429642404E+19,0.40548077888622643E+19,0.13540263773216148E+19,0.75655062784992691E+18
11,1.1033333241939545,0.31506873920189854E+20,0.84750295969810022E+20,0.32903985069257269E+20,0.90952097483067464E+19,0.40511714027263488E+19,0.13717432411620009E+19,0.75960276757045965E+18
12,1.2077777683734894,0.31478939324056285E+20,0.84708367120483615E+20,0.32919581689678619E+20,0.91191130102400051E+19,0.40611311745981558E+19,0.14160730455335457E+19,0.77872828204505587E+18
13,1.3133333226044974,0.31442218261526692E+20,0.84621341026261631E+20,0.32957225412011090E+20,0.91660115172275241E+19,0.40901264723500206E+19,0.15019512366347180E+19,0.84696654558347981E+18
14,1.4199999868869781,0.31427272980427506E+20,0.84630137696985301E+20,0.32939150352873800E+20,0.91540988460398561E+19,0.40753379849226552E+19,0.15143644201538079E+19,0.85363907803281408E+18
15,1.5266666511694593,0.31431921354343420E+20,0.84744556056355717E+20,0.32861752163723231E+20,0.90837047478051236E+19,0.40112763375666422E+19,0.14398847121123021E+19,0.76570244576004544E+18
16,1.6322222054004671,0.31457691093189411E+20,0.84942592197906219E+20,0.32736014140449788E+20,0.89534650755518515E+19,0.39156247145314519E+19,0.13014792453394076E+19,0.64404871024267302E+18
17,1.7366666495800021,0.31475146804896010E+20,0.85084560806251086E+20,0.32640374987945116E+20,0.88451256032039936E+19,0.38509400219903831E+19,0.12109589700030195E+19,0.59415702908262157E+18
18,1.8411110937595370,0.31483387932078125E+20,0.85193468126923719E+20,0.32563106201997918E+20,0.87594110780442870E+19,0.37991653237299272E+19,0.11438834493214053E+19,0.55678471559228563E+18
19,1.9455555379390719,0.31482881243537367E+20,0.85269915976695562E+20,0.32504156578998202E+20,0.86960905723240653E+19,0.37601260793343068E+19,0.10989144026039981E+19,0.53114080329541056E+18
20,2.0499999821186066,0.31473944722632458E+20,0.85314319765869822E+20,0.32463487178007777E+20,0.86549935857308314E+19,0.37336903439392297E+19,0.10751558683885627E+19,0.51668214470530586E+18
21,2.1544444262981415,0.31456753461711704E+20,0.85326915847300727E+20,0.32441071293963338E+20,0.86360095805124055E+19,0.37197683476569390E+19,0.10721361986239380E+19,0.51310188550487053E+18
22,2.2588888704776764,0.31431342870110806E+20,0.85307765515000775E+20,0.32436894439319331E+20,0.86390876801782426E+19,0.37183122035211786E+19,0.10897985909228794E+19,0.52032293967110221E+18
23,2.3633333146572113,0.31397609260541559E+20,0.85256755733370716E+20,0.32450954334110994E+20,0.86642365309540475E+19,0.37293157433089736E+19,0.11284999685483610E+19,0.53849632658458797E+18
24,2.4677777588367462,0.31355307825519378E+20,0.85173596611602170E+20,0.32483260904429736E+20,0.87115243256111933E+19,0.37528144807094282E+19,0.11890181858904783E+19,0.56800433421174765E+18
25,2.5733333130677538,0.31306911598096892E+20,0.85043192442712130E+20,0.32539008081874940E+20,0.87805402086659359E+19,0.37971553829231447E+19,0.12889012027396160E+19,0.64748360785709005E+18
26,2.6799999773502350,0.31280897620713431E+20,0.85004739786236002E+20,0.32537548799440626E+20,0.87886472046561812E+19,0.38005275504274150E+19,0.13211986059161556E+19,0.68012901466503718E+18
27,2.7866666416327153,0.31274386039128723E+20,0.85072832532351156E+20,0.32473805082241229E+20,0.87364708743812772E+19,0.37546255124285501E+19,0.12700629268993475E+19,0.62682967926548890E+18
28,2.8922221958637233,0.31288189556535628E+20,0.85229983986917196E+20,0.32358025219128545E+20,0.86228958315046820E+19,0.36743331778867743E+19,0.11546158800412032E+19,0.53397782820409901E+18
29,2.9966666400432582,0.31294176085490516E+20,0.85337371023625241E+20,0.32271174950185939E+20,0.85304645591984835E+19,0.36213171251445463E+19,0.10804095242327690E+19,0.49676293988250086E+18
30,3.1011110842227931,0.31292025214328386E+20,0.85413257895095976E+20,0.32202455923446055E+20,0.84598148341817375E+19,0.35804245554295736E+19,0.10270824850696714E+19,0.46998908117836659E+18
31,3.2055555284023280,0.31282095221161460E+20,0.85458113300903739E+20,0.32151823082570011E+20,0.84107565558492539E+19,0.35515178910870799E+19,0.99356992736115981E+18,0.45309162734960467E+18
