mpfr,mpwr,mesh_fraction,cells,h_f_cm,h_w_cm,thermal_group,sigtr_thermal_fuel_cm_inv,sigtr_thermal_water_cm_inv,lambda_thermal_fuel_cm,lambda_thermal_water_cm,mesh_over_mfp_fuel,mesh_over_mfp_water,mesh_over_mfp_control,abs_to_one
5,2,2.5,240,0.188,0.47,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.10610832799999999,1.2456786,1.2456786,0.24567859999999997
6,2,3.0,274,0.15666666666666665,0.47,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.08842360666666665,1.2456786,1.2456786,0.24567859999999997
7,2,3.5,308,0.13428571428571429,0.47,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.07579166285714285,1.2456786,1.2456786,0.24567859999999997
8,2,4.0,342,0.1175,0.47,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.06631770499999999,1.2456786,1.2456786,0.24567859999999997
9,2,4.5,376,0.10444444444444444,0.47,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.058949071111111105,1.2456786,1.2456786,0.24567859999999997
10,2,5.0,410,0.094,0.47,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.053054163999999994,1.2456786,1.2456786,0.24567859999999997
11,4,2.75,514,0.08545454545454545,0.235,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.04823105818181818,0.6228393,0.6228393,0.3771607
12,4,3.0,548,0.07833333333333332,0.235,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.04421180333333333,0.6228393,0.6228393,0.3771607
13,4,3.25,582,0.07230769230769231,0.235,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.04081089538461538,0.6228393,0.6228393,0.3771607
14,4,3.5,616,0.06714285714285714,0.235,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.037895831428571426,0.6228393,0.6228393,0.3771607
15,4,3.75,650,0.06266666666666666,0.235,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.03536944266666666,0.6228393,0.6228393,0.3771607
16,4,4.0,684,0.05875,0.235,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.033158852499999995,0.6228393,0.6228393,0.3771607
17,6,2.8333333333333335,788,0.05529411764705882,0.15666666666666665,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.031208331764705877,0.4152262,0.4152262,0.5847738
18,6,3.0,822,0.05222222222222222,0.15666666666666665,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.029474535555555553,0.4152262,0.4152262,0.5847738
19,6,3.1666666666666665,856,0.049473684210526316,0.15666666666666665,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.027923244210526315,0.4152262,0.4152262,0.5847738
20,6,3.3333333333333335,890,0.047,0.15666666666666665,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.026527081999999997,0.4152262,0.4152262,0.5847738
21,8,2.625,994,0.04476190476190476,0.1175,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.025263887619047617,0.31141965,0.31141965,0.6885803500000001
22,8,2.75,1028,0.042727272727272725,0.1175,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.02411552909090909,0.31141965,0.31141965,0.6885803500000001
23,8,2.875,1062,0.0408695652173913,0.1175,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.023067027826086953,0.31141965,0.31141965,0.6885803500000001
24,8,3.0,1096,0.03916666666666666,0.1175,G7,0.564406,2.65038,1.7717742192676904,0.3773043865407979,0.022105901666666664,0.31141965,0.31141965,0.6885803500000001
