pos,row,col,nrows,ncols,rod_pitch,rod_diameter,matid,n_points,r_first,r_last
1,1,1,1,35,1.260000,.940000,2,4,.117500,.822500
2,1,2,1,35,1.260000,.940000,0,7,.067143,.872857
3,1,3,1,35,1.260000,.940000,2,4,.117500,.822500
4,1,4,1,35,1.260000,.940000,0,7,.067143,.872857
5,1,5,1,35,1.260000,.940000,2,4,.117500,.822500
6,1,6,1,35,1.260000,.940000,0,7,.067143,.872857
7,1,7,1,35,1.260000,.940000,2,4,.117500,.822500
8,1,8,1,35,1.260000,.940000,0,7,.067143,.872857
9,1,9,1,35,1.260000,.940000,2,4,.117500,.822500
10,1,10,1,35,1.260000,.940000,0,7,.067143,.872857
11,1,11,1,35,1.260000,.940000,2,4,.117500,.822500
12,1,12,1,35,1.260000,.940000,0,7,.067143,.872857
13,1,13,1,35,1.260000,.940000,2,4,.117500,.822500
14,1,14,1,35,1.260000,.940000,0,7,.067143,.872857
15,1,15,1,35,1.260000,.940000,2,4,.117500,.822500
16,1,16,1,35,1.260000,.940000,0,7,.067143,.872857
17,1,17,1,35,1.260000,.940000,2,4,.117500,.822500
18,1,18,1,35,1.260000,.940000,0,7,.067143,.872857
19,1,19,1,35,1.260000,.940000,2,4,.117500,.822500
20,1,20,1,35,1.260000,.940000,0,7,.067143,.872857
21,1,21,1,35,1.260000,.940000,2,4,.117500,.822500
22,1,22,1,35,1.260000,.940000,0,7,.067143,.872857
23,1,23,1,35,1.260000,.940000,2,4,.117500,.822500
24,1,24,1,35,1.260000,.940000,0,7,.067143,.872857
25,1,25,1,35,1.260000,.940000,2,4,.117500,.822500
26,1,26,1,35,1.260000,.940000,0,7,.067143,.872857
27,1,27,1,35,1.260000,.940000,2,4,.117500,.822500
28,1,28,1,35,1.260000,.940000,0,7,.067143,.872857
29,1,29,1,35,1.260000,.940000,2,4,.117500,.822500
30,1,30,1,35,1.260000,.940000,0,7,.067143,.872857
31,1,31,1,35,1.260000,.940000,2,4,.117500,.822500
32,1,32,1,35,1.260000,.940000,0,7,.067143,.872857
33,1,33,1,35,1.260000,.940000,2,4,.117500,.822500
34,1,34,1,35,1.260000,.940000,0,7,.067143,.872857
35,1,35,1,35,1.260000,.940000,2,4,.117500,.822500
