pos,row,col,nrows,ncols,rod_pitch,rod_diameter,matid,n_points,r_first,r_last
1,1,1,1,69,1.260000,.940000,2,4,.117500,.822500
2,1,2,1,69,1.260000,.940000,0,13,.036154,.903846
3,1,3,1,69,1.260000,.940000,2,4,.117500,.822500
4,1,4,1,69,1.260000,.940000,0,13,.036154,.903846
5,1,5,1,69,1.260000,.940000,2,4,.117500,.822500
6,1,6,1,69,1.260000,.940000,0,13,.036154,.903846
7,1,7,1,69,1.260000,.940000,2,4,.117500,.822500
8,1,8,1,69,1.260000,.940000,0,13,.036154,.903846
9,1,9,1,69,1.260000,.940000,2,4,.117500,.822500
10,1,10,1,69,1.260000,.940000,0,13,.036154,.903846
11,1,11,1,69,1.260000,.940000,2,4,.117500,.822500
12,1,12,1,69,1.260000,.940000,0,13,.036154,.903846
13,1,13,1,69,1.260000,.940000,2,4,.117500,.822500
14,1,14,1,69,1.260000,.940000,0,13,.036154,.903846
15,1,15,1,69,1.260000,.940000,2,4,.117500,.822500
16,1,16,1,69,1.260000,.940000,0,13,.036154,.903846
17,1,17,1,69,1.260000,.940000,2,4,.117500,.822500
18,1,18,1,69,1.260000,.940000,0,13,.036154,.903846
19,1,19,1,69,1.260000,.940000,2,4,.117500,.822500
20,1,20,1,69,1.260000,.940000,0,13,.036154,.903846
21,1,21,1,69,1.260000,.940000,2,4,.117500,.822500
22,1,22,1,69,1.260000,.940000,0,13,.036154,.903846
23,1,23,1,69,1.260000,.940000,2,4,.117500,.822500
24,1,24,1,69,1.260000,.940000,0,13,.036154,.903846
25,1,25,1,69,1.260000,.940000,2,4,.117500,.822500
26,1,26,1,69,1.260000,.940000,0,13,.036154,.903846
27,1,27,1,69,1.260000,.940000,2,4,.117500,.822500
28,1,28,1,69,1.260000,.940000,0,13,.036154,.903846
29,1,29,1,69,1.260000,.940000,2,4,.117500,.822500
30,1,30,1,69,1.260000,.940000,0,13,.036154,.903846
31,1,31,1,69,1.260000,.940000,2,4,.117500,.822500
32,1,32,1,69,1.260000,.940000,0,13,.036154,.903846
33,1,33,1,69,1.260000,.940000,2,4,.117500,.822500
34,1,34,1,69,1.260000,.940000,0,13,.036154,.903846
35,1,35,1,69,1.260000,.940000,2,4,.117500,.822500
36,1,36,1,69,1.260000,.940000,0,13,.036154,.903846
37,1,37,1,69,1.260000,.940000,2,4,.117500,.822500
38,1,38,1,69,1.260000,.940000,0,13,.036154,.903846
39,1,39,1,69,1.260000,.940000,2,4,.117500,.822500
40,1,40,1,69,1.260000,.940000,0,13,.036154,.903846
41,1,41,1,69,1.260000,.940000,2,4,.117500,.822500
42,1,42,1,69,1.260000,.940000,0,13,.036154,.903846
43,1,43,1,69,1.260000,.940000,2,4,.117500,.822500
44,1,44,1,69,1.260000,.940000,0,13,.036154,.903846
45,1,45,1,69,1.260000,.940000,2,4,.117500,.822500
46,1,46,1,69,1.260000,.940000,0,13,.036154,.903846
47,1,47,1,69,1.260000,.940000,2,4,.117500,.822500
48,1,48,1,69,1.260000,.940000,0,13,.036154,.903846
49,1,49,1,69,1.260000,.940000,2,4,.117500,.822500
50,1,50,1,69,1.260000,.940000,0,13,.036154,.903846
51,1,51,1,69,1.260000,.940000,2,4,.117500,.822500
52,1,52,1,69,1.260000,.940000,0,13,.036154,.903846
53,1,53,1,69,1.260000,.940000,2,4,.117500,.822500
54,1,54,1,69,1.260000,.940000,0,13,.036154,.903846
55,1,55,1,69,1.260000,.940000,2,4,.117500,.822500
56,1,56,1,69,1.260000,.940000,0,13,.036154,.903846
57,1,57,1,69,1.260000,.940000,2,4,.117500,.822500
58,1,58,1,69,1.260000,.940000,0,13,.036154,.903846
59,1,59,1,69,1.260000,.940000,2,4,.117500,.822500
60,1,60,1,69,1.260000,.940000,0,13,.036154,.903846
61,1,61,1,69,1.260000,.940000,2,4,.117500,.822500
62,1,62,1,69,1.260000,.940000,0,13,.036154,.903846
63,1,63,1,69,1.260000,.940000,2,4,.117500,.822500
64,1,64,1,69,1.260000,.940000,0,13,.036154,.903846
65,1,65,1,69,1.260000,.940000,2,4,.117500,.822500
66,1,66,1,69,1.260000,.940000,0,13,.036154,.903846
67,1,67,1,69,1.260000,.940000,2,4,.117500,.822500
68,1,68,1,69,1.260000,.940000,0,13,.036154,.903846
69,1,69,1,69,1.260000,.940000,2,4,.117500,.822500
