cell,x_cm,g1,g2
1,  3.97034282E-02,  1.28017549E+00,  2.14595282E-01
2,  1.19110285E-01,  1.27244797E+00,  2.12704776E-01
3,  1.98517141E-01,  1.26867496E+00,  2.05301097E-01
4,  2.77923998E-01,  1.28231810E+00,  2.00305174E-01
5,  3.53513217E-01,  1.28741906E+00,  1.96545095E-01
6,  4.25284801E-01,  1.29257158E+00,  1.88008198E-01
7,  4.97056384E-01,  1.29782337E+00,  1.81056281E-01
8,  5.68827967E-01,  1.30292216E+00,  1.78062259E-01
9,  6.40599550E-01,  1.30310669E+00,  1.77341175E-01
10,  7.12371133E-01,  1.29769261E+00,  1.76406536E-01
11,  7.84142717E-01,  1.30133829E+00,  1.73762923E-01
12,  8.55914300E-01,  1.31361403E+00,  1.73785252E-01
13,  9.27685883E-01,  1.30580791E+00,  1.73641897E-01
14,  9.99457466E-01,  1.29801776E+00,  1.74185072E-01
15,  1.07122905E+00,  1.29508240E+00,  1.75000291E-01
16,  1.14300063E+00,  1.29432921E+00,  1.75356096E-01
17,  1.21477222E+00,  1.28850700E+00,  1.72147501E-01
18,  1.29036144E+00,  1.28376769E+00,  1.81274895E-01
19,  1.36976829E+00,  1.28807888E+00,  1.85117557E-01
20,  1.44917515E+00,  1.29133062E+00,  1.82776284E-01
21,  1.52858200E+00,  1.30633210E+00,  1.78692397E-01
22,  1.60417122E+00,  1.30492100E+00,  1.73348425E-01
23,  1.67594281E+00,  1.30601545E+00,  1.68484539E-01
24,  1.74771439E+00,  1.29637941E+00,  1.67583094E-01
25,  1.81948597E+00,  1.29647642E+00,  1.64405800E-01
26,  1.89125756E+00,  1.29436349E+00,  1.63646150E-01
27,  1.96302914E+00,  1.29274757E+00,  1.65929050E-01
28,  2.03480072E+00,  1.29514247E+00,  1.63450550E-01
29,  2.10657231E+00,  1.29693583E+00,  1.59582172E-01
30,  2.17834389E+00,  1.29664118E+00,  1.58660525E-01
31,  2.25011547E+00,  1.29576108E+00,  1.59574017E-01
32,  2.32188706E+00,  1.28597624E+00,  1.58758404E-01
33,  2.39365864E+00,  1.28364029E+00,  1.61637296E-01
34,  2.46543022E+00,  1.28746074E+00,  1.64897239E-01
35,  2.54101944E+00,  1.27208898E+00,  1.74557599E-01
36,  2.62042630E+00,  1.27082177E+00,  1.80264193E-01
37,  2.69983316E+00,  1.26481547E+00,  1.74739300E-01
38,  2.77924001E+00,  1.27579888E+00,  1.72601241E-01
39,  2.85482923E+00,  1.28181597E+00,  1.61956852E-01
40,  2.92660082E+00,  1.28398006E+00,  1.59561706E-01
41,  2.99837240E+00,  1.29063512E+00,  1.55357383E-01
42,  3.07014398E+00,  1.28521194E+00,  1.55984043E-01
43,  3.14191556E+00,  1.28816283E+00,  1.55213318E-01
44,  3.21368715E+00,  1.29718170E+00,  1.52501897E-01
45,  3.28545873E+00,  1.29580972E+00,  1.54416896E-01
46,  3.35723031E+00,  1.29007797E+00,  1.54713957E-01
47,  3.42900190E+00,  1.28440210E+00,  1.54816763E-01
48,  3.50077348E+00,  1.28961677E+00,  1.56480708E-01
49,  3.57254506E+00,  1.28452064E+00,  1.53827432E-01
50,  3.64431665E+00,  1.28853047E+00,  1.57552580E-01
51,  3.71608823E+00,  1.28095242E+00,  1.62492542E-01
52,  3.79167745E+00,  1.28399889E+00,  1.68517849E-01
53,  3.87108431E+00,  1.28179969E+00,  1.73125107E-01
54,  3.95049116E+00,  1.28228785E+00,  1.73888680E-01
55,  4.02989802E+00,  1.27952615E+00,  1.71425681E-01
56,  4.10548724E+00,  1.27877458E+00,  1.65654740E-01
57,  4.17725882E+00,  1.28741502E+00,  1.64292574E-01
58,  4.24903041E+00,  1.28902241E+00,  1.58521135E-01
59,  4.32080199E+00,  1.28841467E+00,  1.57288079E-01
60,  4.39257357E+00,  1.28825550E+00,  1.56098247E-01
61,  4.46434516E+00,  1.29405919E+00,  1.55634612E-01
62,  4.53611674E+00,  1.29400610E+00,  1.52201732E-01
63,  4.60788832E+00,  1.29527876E+00,  1.54373373E-01
64,  4.67965991E+00,  1.28806737E+00,  1.51791565E-01
