cell,x_cm,g1,g2,g3,g4,g5,g6,g7
1,0.79406856435860679E-1,0.19402577335843635,0.64115796891956844,0.25774032657685036,0.79151701708373726E-1,0.76105161692688147E-1,0.54392877970966091E-1,0.40325532590462010E-1
2,0.23822056930758204,0.19870788367382647,0.64976724597704882,0.25566794910638035,0.77479321611141697E-1,0.75229650640980944E-1,0.50673513669271759E-1,0.32595003191055266E-1
3,0.38427246728699360,0.20891436092313367,0.66697491458039382,0.24905090551755854,0.72419110623413885E-1,0.71478916255610925E-1,0.45321255169201373E-1,0.21763689219046544E-1
4,0.51756255037409549,0.21133902754197062,0.67180788467124786,0.24569143145964328,0.69996617470094294E-1,0.69311813564256738E-1,0.40428506828192795E-1,0.17353293340428406E-1
5,0.65085263346119726,0.21226623455865304,0.67110809324554999,0.24276699780604705,0.68655566899303883E-1,0.67644988281091376E-1,0.38078050948161538E-1,0.14784318768725312E-1
6,0.78414271654829903,0.21148487577161082,0.67126432938355018,0.24303517319408371,0.67783782053707511E-1,0.67280362999843552E-1,0.37121090119094334E-1,0.13183352020278155E-1
7,0.91743279963540081,0.21020856584268061,0.67599402703343836,0.24212838085559588,0.67058901284689137E-1,0.68267772276792885E-1,0.36945133527873590E-1,0.13041352483937917E-1
8,1.0507228827225026,0.20830631327253815,0.67608712983830277,0.24102780749490399,0.68122853142192241E-1,0.69883539816450235E-1,0.37527227166147217E-1,0.13274828483890349E-1
9,1.1840129658096044,0.20614628949509214,0.67235535472027252,0.24380764104064467,0.68578421196621261E-1,0.69824900180894017E-1,0.38206080137913601E-1,0.15043903236640321E-1
10,1.3300648637890160,0.19993125568559070,0.65705956445300506,0.24841156113328466,0.72464105245620747E-1,0.71231055062739954E-1,0.41542327055196837E-1,0.19036631609855106E-1
11,1.4888785766607371,0.19862135637790215,0.66110254993393924,0.25040973572196146,0.72128939358003089E-1,0.70560434517218926E-1,0.42011348353376013E-1,0.19946648058717219E-1
12,1.6349304746401487,0.20452558383106334,0.67489652218186924,0.24595139076060699,0.67558940010927021E-1,0.67714317380360267E-1,0.36544269614541332E-1,0.14323011124057797E-1
13,1.7682205577272505,0.20814400404132011,0.67860233033699391,0.24217661081508676,0.65780471711208363E-1,0.67400733931393245E-1,0.34386448697859111E-1,0.11623886110250146E-1
14,1.9015106408143523,0.20996008178491143,0.68573043887333651,0.24383671786562933,0.65413776160946180E-1,0.66812412716502040E-1,0.33785100354361386E-1,0.10718852749242233E-1
